UniqueID,MAIN_CROP,MAIN_CROP_DATE,YR_PLANTED,ACRES,COUNTY,REGION,HYDRO_RGN,CROPTYP1,CLASS1,SUBCLASS1,study_region,is_unit,nearest_station_km
1500494,D12,,2015,21.23227822720935,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.24
1500512,D12,,2016,37.09630250161725,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,9.51
1500548,D12,,2016,10.372571498172425,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.29
1500552,D12,,1999,74.15236038856682,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,12.3
1500563,D12,,2013,34.03169520696134,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,20.26
1500610,D12,,2006,25.522385458745074,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,8.17
1500781,D12,,2015,32.44177551072365,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,21.54
1500812,D12,,2010,36.55592299582269,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,10.31
1500859,D12,,2014,68.81508492157084,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,15.24
1500957,D12,,2016,63.203977369948824,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,17.28
1501189,D12,,2008,77.59235362075525,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,14.66
1501198,D12,,2015,20.786911221559134,Kern,SCRO,Tulare Lake,****,**,**,sj_south,1,21.89
